Gene stable ID,Gene name,Zebrafish gene stable ID,Zebrafish gene name,Zebrafish homology type,"Zebrafish orthology confidence [0 low, 1 high]",Zebrafish Gene-order conservation score
ENSG00000210049,MT-TF,,,,,
ENSG00000211459,MT-RNR1,,,,,
ENSG00000210077,MT-TV,,,,,
ENSG00000210082,MT-RNR2,,,,,
ENSG00000209082,MT-TL1,,,,,
ENSG00000198888,MT-ND1,ENSDARG00000063895,mt-nd1,ortholog_one2one,1,50
ENSG00000210100,MT-TI,,,,,
ENSG00000210107,MT-TQ,,,,,
ENSG00000210112,MT-TM,,,,,
ENSG00000198763,MT-ND2,ENSDARG00000063899,mt-nd2,ortholog_one2one,1,75
ENSG00000210117,MT-TW,,,,,
ENSG00000210127,MT-TA,,,,,
ENSG00000210135,MT-TN,,,,,
ENSG00000210140,MT-TC,,,,,
ENSG00000210144,MT-TY,,,,,
ENSG00000198804,MT-CO1,ENSDARG00000063905,mt-co1,ortholog_one2one,1,100
ENSG00000210151,MT-TS1,,,,,
ENSG00000210154,MT-TD,,,,,
ENSG00000198712,MT-CO2,ENSDARG00000063908,mt-co2,ortholog_one2one,1,100
ENSG00000210156,MT-TK,,,,,
ENSG00000228253,MT-ATP8,,,,,
ENSG00000198899,MT-ATP6,ENSDARG00000063911,mt-atp6,ortholog_one2one,1,100
ENSG00000198938,MT-CO3,ENSDARG00000063912,mt-co3,ortholog_one2one,1,100
ENSG00000210164,MT-TG,,,,,
ENSG00000198840,MT-ND3,ENSDARG00000063914,mt-nd3,ortholog_one2one,1,100
ENSG00000210174,MT-TR,,,,,
ENSG00000212907,MT-ND4L,,,,,
ENSG00000198886,MT-ND4,ENSDARG00000063917,mt-nd4,ortholog_one2one,1,100
ENSG00000210176,MT-TH,,,,,
ENSG00000210184,MT-TS2,,,,,
ENSG00000210191,MT-TL2,,,,,
ENSG00000198786,MT-ND5,ENSDARG00000063921,mt-nd5,ortholog_one2one,1,100
ENSG00000198695,MT-ND6,ENSDARG00000063922,mt-nd6,ortholog_one2one,1,75
ENSG00000210194,MT-TE,,,,,
ENSG00000198727,MT-CYB,ENSDARG00000063924,mt-cyb,ortholog_one2one,1,50
ENSG00000210195,MT-TT,,,,,
ENSG00000210196,MT-TP,,,,,
ENSG00000299200,,,,,,
