Gene stable ID,Gene name,Human gene name,Human gene stable ID,Human homology type,"Human orthology confidence [0 low, 1 high]",Human Gene-order conservation score
ENSDARG00000063344,fam162a,FAM162A,ENSG00000114023,ortholog_one2one,0,25
ENSDARG00000097685,si:ch211-235i11.3,,,,,
ENSDARG00000036008,caly,CALY,ENSG00000130643,ortholog_one2one,0,0
ENSDARG00000069301,TMEM177,TMEM177,ENSG00000144120,ortholog_one2one,1,50
ENSDARG00000104901,OSTC,OSTC,ENSG00000198856,ortholog_one2one,1,0
ENSDARG00000031836,vps37c,VPS37C,ENSG00000167987,ortholog_one2one,0,0
ENSDARG00000103391,RAB9B,RAB9B,ENSG00000123570,ortholog_one2one,1,0
ENSDARG00000030463,TPPP3,TPPP3,ENSG00000159713,ortholog_one2one,1,50
ENSDARG00000103031,znf1029,,,,,
ENSDARG00000070447,SLC39A9,SLC39A9,ENSG00000029364,ortholog_one2one,1,25
ENSDARG00000080018,KIF16B,KIF16B,ENSG00000089177,ortholog_one2many,1,50
ENSDARG00000036109,MTX1,MTX1,ENSG00000173171,ortholog_one2many,1,0
ENSDARG00000029612,gpkow,GPKOW,ENSG00000068394,ortholog_one2one,0,25
ENSDARG00000075759,SAMD4A,SAMD4A,ENSG00000020577,ortholog_one2one,1,50
ENSDARG00000068484,zgc:158270,,,,,
ENSDARG00000057635,DYNC2I2,DYNC2I2,ENSG00000119333,ortholog_one2one,1,50
ENSDARG00000032737,GRIA3,GRIA3,ENSG00000125675,ortholog_one2many,1,0
ENSDARG00000053517,EML5,EML5,ENSG00000165521,ortholog_one2one,1,0
ENSDARG00000111826,si:dkey-27d5.7,,,,,
ENSDARG00000098335,si:dkeyp-87d1.6,,,,,
ENSDARG00000092715,si:dkey-20d21.6,,,,,
ENSDARG00000095834,si:dkey-251i8.2,,,,,
ENSDARG00000015793,CREB3L1,CREB3L1,ENSG00000157613,ortholog_one2one,1,50
ENSDARG00000044573,CDC42,CDC42,ENSG00000070831,ortholog_one2many,1,25
